ca,rectangle,20,34.0522222,-118.2427778
or,light,20,44.9194444,-123.3158333
nj,other,7200,39.7327778,-75.1319444
ca,light,15,37.3394444,-121.8938889
,light,1200,27.477936,-99.549573
ca,formation,2700,36.6777778,-121.6544444
ca,circle,60,35.1186111,-120.5897222
ca,rectangle,120,36.7477778,-119.7713889
oh,light,5,41.314497,-81.83569
tx,fireball,1351,27.5061111,-99.5072222
fl,formation,7200,26.6155556,-80.0572222
ny,light,540,42.9638889,-78.7380556
,formation,180,52.683333,-2.016667
fl,light,180,28.1875,-82.7397222
mn,circle,7200,44.8041667,-93.1666667
ar,circle,180,36.188137,-94.540496
ut,formation,600,39.32098,-111.093731
ut,light,720,40.6808333,-112.2622222
hi,light,2,21.344507,-157.974891
az,light,5400,33.5805556,-112.2366667
az,formation,1800,33.3702778,-112.5830556
az,light,1800,32.8794444,-111.7566667
az,triangle,3,33.4147222,-111.9086111
al,light,1800,30.6941667,-88.0430556
nj,oval,300,40.8527778,-74.0425
ia,light,10,42.2711111,-95.0927778
,oval,3600,53.433333,-1.35
tn,disk,13,36.1658333,-86.7844444
in,circle,420,41.615591,-87.529487
me,disk,30,43.161748,-70.648258
ar,oval,600,34.746481,-92.289595
wa,unknown,120,47.8211111,-122.3138889
ca,fireball,120,34.0625,-118.1219444
mn,light,600,47.0227778,-91.6705556
fl,diamond,3600,30.4211111,-87.2169444
fl,light,900,30.6322222,-87.0397222
,formation,5,51.816667,-1.283333
ca,circle,3,34.2241667,-118.2391667
ok,light,60,36.3955556,-97.8780556
tx,triangle,60,35.5361111,-100.9594444
ny,oval,120,43.2127778,-75.4561111
ky,oval,360,39.0297222,-84.3663889
or,cylinder,900,45.2944444,-123.1752778
or,circle,900,45.4077778,-122.5691667
,unknown,3600,-27.597553,152.7455
wa,triangle,10,47.6063889,-122.3308333
sc,light,1800,35.0241667,-81.0280556
al,disk,1800,30.2458333,-87.7008333
,unknown,300,51.514125,-0.093689
,chevron,60,46.62794,14.30899
tx,disk,3,25.9013889,-97.4972222
ca,light,180,37.9780556,-122.03
nc,sphere,20,35.6708333,-80.4744444
,cylinder,240,-27.088079,152.928057
ct,circle,7200,41.1669444,-73.2052778
md,sphere,7200,39.5122222,-76.7697222
ca,light,60,33.9533333,-117.3952778
fl,triangle,30,26.1416667,-81.795
tx,light,900,31.2577778,-95.9780556
il,changing,300,41.885738,-87.969213
nm,fireball,120,35.0844444,-106.6505556
ca,triangle,30,34.0522222,-118.2427778
wa,unknown,10,48.50389,-122.23611
ny,other,10800,40.7616667,-73.3297222
md,light,600,37.9833333,-75.8541667
nf,flash,5,47.55,-52.666667
mi,triangle,20,42.3713889,-83.4702778
az,egg,1200,33.5386111,-112.1852778
ky,disk,120,38.2541667,-85.7594444
fl,oval,3,26.7052778,-80.0366667
ri,circle,15,41.9666667,-71.55
in,flash,540,39.5741667,-86.8652778
wi,light,180,43.0730556,-89.4011111
ca,other,1200,33.8491667,-118.3875
wa,rectangle,1,46.553733,-120.383162
ny,oval,120,42.6525,-73.7566667
fl,sphere,2400,26.7052778,-80.0366667
ca,changing,2700,38.6786111,-121.2247222
mn,light,240,44.8277778,-92.9436111
ca,circle,60,34.1361111,-117.8644444
ca,triangle,5,33.0416667,-116.8672222
ca,other,15,37.5958333,-122.0180556
mi,fireball,15,42.586888,-82.919551
il,chevron,120,37.8902778,-88.3030556
nv,other,180,36.0397222,-114.9811111
ut,light,8,37.6775,-113.0611111
ia,light,90,41.6005556,-93.6088889
ma,circle,1800,41.6361111,-70.9347222
ct,,300,41.3325,-73.2077778
nc,circle,30,33.9133333,-78.3041667
ky,unknown,480,37.7622222,-84.8433333
ma,unknown,4,42.2625,-71.8027778
nj,sphere,3600,40.6377778,-74.4513889
ma,light,2,42.6105556,-71.2347222
ny,disk,120,40.695655,-73.325675
in,cigar,7200,41.6347222,-84.9994444
md,light,300,39.2544444,-76.7002778
pa,fireball,720,41.2788889,-75.8786111
ny,circle,300,43.0830556,-73.785
pa,diamond,60,41.2052778,-76.0052778
nm,fireball,120,32.3122222,-106.7777778
wa,triangle,10,47.3525,-121.9825
pa,diamond,60,40.155,-74.8291667
az,sphere,30,33.4483333,-112.0733333
il,circle,45,41.6572222,-87.68
mi,chevron,4,43.4194444,-83.9508333
on,cylinder,3600,43.25,-79.833333
ia,circle,120,41.7297222,-93.6055556
fl,light,15,26.8230556,-80.1388889
on,circle,300,43.866667,-79.033333
mi,fireball,600,42.2916667,-85.5872222
ks,unknown,240,38.9716667,-95.235
oh,fireball,600,39.103118,-84.51202
vt,light,60,44.4905556,-73.1113889
oh,circle,300,39.1619444,-84.4569444
oh,fireball,240,39.1619444,-84.4569444
fl,light,7200,26.1416667,-81.795
ga,light,300,32.543889,-83.596111
oh,fireball,60,39.1619444,-84.4569444
ky,fireball,300,38.9458333,-84.6805556
ma,fireball,60,42.4736111,-72.0066667
ga,light,300,33.5966667,-83.8602778
oh,sphere,180,39.7463889,-84.2866667
ny,chevron,90,43.0297222,-76.0047222
fl,light,900,26.9338889,-80.0944444
fl,sphere,300,28.0833333,-80.6083333
wi,sphere,60,45.3561111,-92.6333333
il,formation,60,41.88,-88.0077778
on,light,300,45.583333,-72
oh,fireball,10,40.8758333,-81.4025
mi,fireball,2,42.4566667,-83.9463889
ky,disk,600,37.4791667,-82.5188889
,disk,1200,33.590355,130.401716
mo,disk,90,39.0997222,-94.5783333
